author_id	full_name	first_name	n_pubs	gender	discipline
35237358	deploige, j	jeroen	5	m	HISTORY, PHILOSOPHY AND RELIGION
35247235	thirion, j	jaqueline	22	f	BASIC LIFE SCIENCES
35967911	golubovic, ds	dusan s.	36	m	PHYSICS AND MATERIALS SCIENCE
35971401	malaisse, wj	willy j.	1243	m	BASIC LIFE SCIENCES
36154973	vandewalle, l	lucie	41	f	CIVIL ENGINEERING AND CONSTRUCTION
37102233	kerrels, v	veronique	13	f	CLINICAL MEDICINE
37376618	stroobant, n	nathalie	17	f	CLINICAL MEDICINE
38347713	fiems, lo	leo o.	117	m	AGRICULTURE AND FOOD SCIENCE
38348482	coene, e	elisabeth	22	f	CLINICAL MEDICINE
38361603	alderweireldt, m	mark	4	m	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
38613110	jabin, i	ivan	90	m	CHEMISTRY AND CHEMICAL ENGINEERING
38624924	laute, ma	marie-aline	19	f	CLINICAL MEDICINE
39150882	thys, c	chantal	55	f	CLINICAL MEDICINE
39398693	dumortier, p	pascal	52	m	CLINICAL MEDICINE
39677190	vande berg, bc	bruno c.	127	m	BIOMEDICAL SCIENCES
40152826	maquoi, e	erik	43	m	CLINICAL MEDICINE
40649975	jamar, m	mauricette	39	f	BASIC LIFE SCIENCES
41116634	kopecky, s	stefan	70	m	PHYSICS AND MATERIALS SCIENCE
41377617	morelle, jl	jean-luc	13	m	CHEMISTRY AND CHEMICAL ENGINEERING
41391504	balemans, w	wendy	51	f	CLINICAL MEDICINE
41656899	bernard, a	alfred	316	m	CLINICAL MEDICINE
41975071	carmeliet, g	geert	186	m	CLINICAL MEDICINE
42500998	demoulin, a	alain	49	m	EARTH SCIENCES AND TECHNOLOGY
42506913	dehareng, d	dominique	67	f	CHEMISTRY AND CHEMICAL ENGINEERING
42518595	lamote, c	carl	18	m	PSYCHOLOGY
42526751	moniotte, s	stephane	48	m	CLINICAL MEDICINE
42797810	rigo, j	jacques	131	m	CLINICAL MEDICINE
43841487	lofgren, a	ann	66	f	BASIC LIFE SCIENCES
44884880	geraets, lh	luc h.	6	m	MECHANICAL ENGINEERING AND AEROSPACE
45860719	danckaerts, m	marina	54	f	CLINICAL MEDICINE
46874681	dekimpe, k	karel	77	m	MATHEMATICS
46886195	aron, s	serge	98	m	BIOLOGICAL SCIENCES
47962966	elst, lv	luce vander	99	f	CHEMISTRY AND CHEMICAL ENGINEERING
47968345	hubert, b	bernard	5	m	CLINICAL MEDICINE
48225382	degand, g	guy	19	m	CHEMISTRY AND CHEMICAL ENGINEERING
48258374	cornelis, a	ann	6	f	CLINICAL MEDICINE
48265679	fettweis, m	michael	27	m	EARTH SCIENCES AND TECHNOLOGY
48524937	de weireld, g	guy	59	m	CHEMISTRY AND CHEMICAL ENGINEERING
48794742	desmet, g	gert	286	m	CHEMISTRY AND CHEMICAL ENGINEERING
49019611	lambert, f	franklin	26	m	PHYSICS AND MATERIALS SCIENCE
49281027	deblecker, o	olivier	30	m	ELECTRICAL ENGINEERING AND TELECOMMUNICATION
49802924	raucent, b	benoit	20	m	CLINICAL MEDICINE
50438317	de pauw, m	michel	73	m	CLINICAL MEDICINE
