9	1477	2
9	3922	4
9	5262	1
9	9259	2
21	4471	1
21	5603	1
21	8057	1
29	1666	14
29	1949	67
29	2237	11
29	7796	7
29	8602	5
29	9525	5
30	2260	1
30	5251	1
30	9047	2
32	3046	1
50	5262	1
80	1834	1
80	4856	1
80	5220	2
80	5577	1
80	8107	1
81	525	1
81	553	1
81	1834	1
81	2090	1
81	2723	1
81	4352	1
81	4828	1
81	5220	1
81	5239	1
81	5577	8
81	7003	1
81	9047	1
86	1740	4
86	4225	4
86	4228	1
86	7157	3
86	7843	4
86	9091	1
86	9641	1
86	10095	1
106	5550	3
106	8919	1
106	9923	5
114	8208	2
114	8501	1
115	8143	1
115	8501	2
115	9375	1
147	6854	6
147	7137	1
147	7885	8
190	4044	1
190	4651	1
190	5001	2
190	7409	1
190	8561	1
192	2526	1
192	9879	1
311	941	3
311	1829	1
311	3269	3
311	6375	2
311	6383	2
331	3165	6
331	5036	9
331	10437	1
340	1562	2
340	1798	2
340	2091	3
340	7843	1
373	3047	1
373	8703	1
407	8107	1
469	1840	5
469	4297	5
469	4400	5
469	7884	9
502	5603	4
525	733	1
525	3183	1
525	3506	1
525	3634	1
525	5239	5
525	5577	1
525	6285	1
525	7139	3
525	9047	2
546	4856	1
546	5284	1
546	9047	3
553	4651	1
553	4662	1
553	7003	3
560	10419	1
598	6778	1
598	7491	4
598	10419	14
620	949	5
620	3629	1
620	5262	1
645	1013	3
645	2168	3
645	7756	3
645	8775	4
651	943	1
651	6066	1
651	7691	1
651	8012	2
652	3443	1
652	4856	5
652	4857	4
652	4912	1
652	5293	1
652	6894	2
669	1722	8
669	5035	13
669	5368	2
669	8919	1
669	10161	1
681	5362	1
681	5430	1
681	8057	1
681	10336	1
682	5285	1
682	5418	1
682	5430	2
713	5262	1
714	5262	1
733	8012	1
764	2867	5
764	3299	1
764	3430	1
764	3859	4
764	7709	5
764	8115	5
764	10419	2
786	4856	1
786	6169	3
786	8309	1
786	8702	1
786	10082	1
811	9674	1
885	3998	1
885	4641	1
885	7691	1
885	9930	1
889	991	2
889	1509	1
889	3184	1
889	3436	2
889	4703	1
889	5646	1
889	7458	1
889	8107	1
889	9343	1
905	1501	1
905	2294	2
905	3654	1
905	5268	1
905	7732	2
905	8965	2
905	10396	1
913	1666	2
913	1991	7
913	6285	1
923	8107	5
934	8890	1
934	10173	1
941	1829	10
941	2723	4
941	3244	9
941	3269	3
941	6124	3
941	6375	2
941	6383	5
941	9375	4
941	9382	1
943	1326	2
943	6064	2
943	7632	3
948	1829	1
948	4703	1
948	6698	1
948	8107	2
949	1336	1
949	1757	1
949	1983	2
949	1984	32
949	2090	6
949	2492	1
949	3414	1
949	3432	1
949	3629	12
