author_idA	author_idB	n_joint_papers	n_joint_papers_frac
336996	690940	4	.396464646464
2366	870892	1	.125000000000
1105541	1229707	1	.200000000000
228908	1250652	1	.090909090909
587063	1510779	1	.125000000000
957212	1510779	1	.200000000000
1185134	1525771	3	.235353535353
1150300	1578924	10	1.961904761903
1402267	1590098	1	.166666666666
1496522	1619435	1	.166666666666
858370	1648344	6	.703968253968
1396309	1686223	3	.238034188034
1235648	1776179	2	.392857142857
228908	1865068	1	.142857142857
177580	1950174	1	.000862068965
712976	2146972	5	1.199999999998
667983	2217101	9	.816520467834
981772	2258215	6	.658333333333
1425048	2259833	3	.507575757575
969473	2312743	2	.222222222222
801988	2351832	2	.250000000000
1683873	2497304	3	.244755244755
1831419	2497304	8	1.142857142856
336996	2573323	2	.366666666666
2312743	2573323	6	.837301587300
2580845	2616030	1	.111111111111
1470337	2708133	1	.029411764705
2256627	2714384	1	.333333333333
858451	2722709	5	.638888888888
2616030	2767783	5	.916666666664
2351832	2815755	1	.083333333333
672376	2823593	1	.050000000000
1648344	2823593	1	.066666666666
967163	2828550	3	.216666666665
873123	2999275	2	.238095238094
2515316	2999275	6	.874999999998
245333	2999358	2	.236111111111
1005159	3031579	1	.090909090909
2837454	3040184	2	.366666666666
1699098	3050541	27	2.796467071409
3030697	3075426	1	.062500000000
1050774	3088770	4	.642857142855
2406153	3174158	18	2.723695184284
2823593	3186071	1	.034482758620
1510779	3201593	2	.236111111111
2628449	3221122	3	.476190476189
1525462	3222419	17	2.898015873012
245333	3250712	4	.502777777777
954390	3308107	1	.250000000000
668253	3321868	1	.333333333333
1724993	3376671	23	6.968347338932
2393940	3376671	2	.167832167832
2533106	3376671	1	.058823529411
1959679	3494072	1	.166666666666
3406833	3519792	4	.363636363636
3406833	3546700	1	.083333333333
245333	3563468	2	.416666666666
1636653	3566908	5	.935014005601
2147505	3638700	4	.775000000000
2406153	3638700	1	.333333333333
2892190	3638700	8	1.333333333332
1419581	3668980	1	.125000000000
2708133	3734572	1	.166666666666
1865068	3748904	3	.327020202020
1150300	3758026	1	.076923076923
1487367	3771801	1	.026315789473
3752493	3919261	3	.402777777777
858451	3935772	2	.311111111111
1525462	3937320	8	1.422222222221
214684	4031942	3	.642857142857
1419581	4048809	1	.125000000000
214684	4050485	1	.076923076923
2722655	4074800	1	.200000000000
1231958	4142628	4	.759523809523
598170	4170965	8	1.604700854700
3112223	4170965	1	.166666666666
1688733	4171661	1	.200000000000
3196836	4171661	5	.382478632477
3112223	4179146	14	1.176863269211
2932259	4184096	10	1.317171717170
1150300	4194524	12	2.088492063489
1965617	4195603	2	.106442577030
691713	4196552	5	.382148407147
1250202	4196552	1	1.000000000000
3040184	4196552	9	.824498132584
1946947	4241299	6	.758333333332
1868961	4244376	1	.200000000000
1149560	4377473	2	.342857142857
2789175	4377473	5	.736111111111
554791	4429390	1	.083333333333
1865068	4454336	1	.166666666666
1959679	4454336	1	.200000000000
3820766	4496746	18	3.755158730155
712976	4536497	3	.592857142857
